Team Name,Name,Wins,Losses,Elo (avg=1000),Trueskill Rating (avg=25),Peak MMR,zero Number,Active,Race,Players Defeated,Players Lost To
Google Xpendables,Pacifists,7,9,867,22.67 ± 2.6,3509,3,Yes,Zerg,FutureNights ; patch ; MADMDK ; PapaGil ; PanDasoul ; sineon ; Argyle,MDM ; LuisG ; tom ; SourSpinach ; tskuzzy ; ViceAdmiral ; Mannered ; keelar ; PluTo
I BM,HowieZ,1,3,937,21.11 ± 5.4,3515,9,No,Protoss,MsWolf,Unknown ; fuinkaze ; OrangCaramel
Shopify Dropshippers,Thadeaus,1,1,995,24.96 ± 6.3,3052,6,No,Protoss,Shardarki,tsuki
Raytheon Husky Unit,Shardarki,1,2,971,23.18 ± 5.8,0,5,No,Zerg,Maphtar,Thadeaus ; ZESTisBEST
Facebook Zuckerzerg,juno,35,13,1220,35.61 ± 1.5,4854,2,Yes,Zerg,OrangCaramel ; OrangCaramel ; StoicWilly ; Kevin ; Kevin ; Alken ; ZESTisBEST ; GritBear ; You ; Mannered ; brueda ; brueda ; brueda ; Cicero ; DarthNoob ; NaCl ; NaCl ; Gyalgatine ; Alephnaut ; Foggy ; DOJ ; Alex ; Treadle ; Fran ; ReMiiX ; Kixantrix ; LatinPride ; Infinity ; Sunflasher ; FearCat ; FearCat ; Arioch ; Jackal ; Evan ; Argyle,Iceman ; Turing ; Turing ; Mestaman ; ZESTisBEST ; ShOckWavE ; Liqht ; Kevin ; StoicWilly ; OrangCaramel ; tso ; Zero ; Zero
Google Noobernetes,Frolic,0,1,965,22.02 ± 7.3,2405,,No,Terran,,Zip
Eagleview SC2,DEVD,1,2,953,20.49 ± 5.5,2814,7,No,Protoss,Daggerfield,shengy ; Chiy
Google Proxy Batch,Chiy,3,1,1063,27.97 ± 4.8,3343,3,No,Zerg,Alephnaut ; Violett ; DEVD,joLin
MSFT-A,GritBear,13,3,1229,32.90 ± 2.7,4341,3,Yes,Zerg,Slumdog ; Zip ; GreatArchon ; Alpha ; Arcane ; Syrril ; seu ; AlexD ; MorOs ; FutureNights ; TomNook ; MyKill ; Theios,Wailord ; NaCl ; juno
I BM,MorOs,2,3,962,22.11 ± 4.5,0,,No,Zerg,Littlenold ; PanDasoul,FireFerret ; Fent ; GritBear
Google YAM,rskaliotis,0,2,936,20.15 ± 6.6,2938,,No,Terran,,KiDZ ; MrJin
Facebook Wings,LatinPride,4,4,995,23.58 ± 3.7,0,5,No,Random,HawaiiRice ; SophieG ; BadassGinger ; FarFetchd,Expendable ; Treadle ; Arcane ; juno
Google A-Movers,OrangCaramel,29,16,1291,35.61 ± 1.4,5234,1,Yes,Protoss,MrNovember ; Zero ; tso ; StoicWilly ; Mestaman ; juno ; YolBolsun ; brueda ; brueda ; brueda ; Auditor ; fuinkaze ; bablit ; SourSpinach ; SourSpinach ; Lyte ; Puzzle ; Kolo ; Alephnaut ; Alephnaut ; Taeho ; joLin ; Infinity ; MrJefferson ; HowieZ ; shengy ; Cosmic ; Greghatch ; Winze,SourSpinach ; bScherm ; Zip ; keelar ; Inkarnate ; juno ; juno ; Slumdog ; Mestaman ; ZESTisBEST ; ZESTisBEST ; tso ; Zero ; Zero ; MrNovember ; MrNovember
Alexa 12 Pool,ZESTisBEST,30,9,1247,37.35 ± 1.8,5411,2,Yes,Protoss,Frontstab ; OrangCaramel ; OrangCaramel ; juno ; Inkarnate ; TwoBaneZ ; You ; Ender ; Turing ; Cicero ; SourSpinach ; Rainier ; ThEUnKnowN ; Alephnaut ; Arcane ; coolwhip ; DisCerN ; DisCerN ; NYAAAA ; Infinity ; Infinity ; Shardarki ; icyCow ; FearCat ; sustorm ; Jakers ; shengy ; imaznation ; patch ; Cosmic,Kolo ; WhiteRa ; keelar ; juno ; FAir ; Zero ; Zero ; Zero ; Zero
Google YouNube,ZeroCool,2,3,965,21.66 ± 4.2,2955,3,No,Protoss,FutureNights ; BadassGinger,Sup ; kelvinzhong ; Mannered
Google A-Movers,Turing,10,9,1152,34.56 ± 2.1,4942,2,Yes,Zerg,Alken ; Slumdog ; juno ; juno ; Inkarnate ; Krayze ; DarkZero ; SourSpinach ; BounD ; BounD,NaCl ; Krayze ; keelar ; YolBolsun ; Mestaman ; ZESTisBEST ; KawaiiRice ; tso ; Zero
Alexa 12 Pool,DarkZero,4,1,1132,33.79 ± 4.2,5476,3,No,Protoss,PluTo ; frugs ; Infinity ; HawaiiRice,Turing
Capital OneA,MaximumSnail,2,2,971,20.92 ± 4.8,3200,6,No,Zerg,MyKill ; Daggerfield,PapaGil ; Infinity
Facebook Wings,segv,0,1,964,21.68 ± 7.2,3499,,No,Zerg,,Alken
Google YouNube,KinCornKarn,2,5,887,20.55 ± 3.8,3234,,No,Terran,Kronos ; TabulaRasa,Treadle ; Alex ; DOJ ; Garett ; Mannered
Garmin Fenix,Kronos,0,1,960,20.79 ± 7.2,0,,No,Random,,KinCornKarn
Garmin Fenix,TabulaRasa,0,3,901,16.51 ± 5.6,2705,,No,Zerg,,KinCornKarn ; Pocari ; Mannered
Findex (AUS),lifehckr,0,5,823,12.35 ± 4.8,0,,No,Protoss,,Argyle ; MADMDK ; Atlantean ; Anelit ; GreatArchon
Findex Fast Expand,Jackal,7,16,854,22.15 ± 2.2,4487,4,Yes,Protoss,KingOfRage ; Kixantrix ; Kisa ; Tarnasa ; MADMDK ; MsWolf ; Argyle,commamloser ; Kixantrix ; Wailord ; UWUMcSwagXD ; TallMonster ; Foggy ; Foggy ; Gyalgatine ; Alpha ; bScherm ; GreatArchon ; Auditor ; juno ; PluTo ; Pancakes ; qxc
Alexa 12 Pool,Kevin,28,14,1265,33.04 ± 1.5,4984,2,Yes,Protoss,danceparty ; StoicWilly ; juno ; Emil ; Krayze ; Zip ; NaCl ; NaCl ; Gyalgatine ; Gyalgatine ; Alephnaut ; frugs ; pzlin ; rezecib ; seu ; seu ; Iceman ; Anelit ; PandaLove ; PandaLove ; Syzygy ; FearCat ; halflings ; bees ; bees ; MrSleep ; smokeygun ; Greghatch,MrSleep ; FearCat ; DisCerN ; DisCerN ; DOJ ; frugs ; SourSpinach ; TwoBaneZ ; juno ; juno ; PluTo ; Frontstab ; AGiantSmurf ; MrNovember
Amazon Primal,Taeho,10,12,1071,24.31 ± 2.2,3846,3,Yes,Protoss,Slumdog ; LuMorY ; Expendable ; olaf ; DanStraight ; ChozSun ; Youiur ; RexAliquid ; sineon ; Winze,Pocari ; KingOfRage ; Syrril ; Arcane ; Alephnaut ; Alephnaut ; Krayze ; Slumdog ; PluTo ; Alken ; Alken ; OrangCaramel
Google ggMail,Atlantean,4,8,899,21.02 ± 3.0,2881,5,Yes,Protoss,juba ; Yaxhiro ; Rook ; lifehckr,Rook ; Syngularity ; Violett ; Anelit ; Iceman ; Arcane ; Gyalgatine ; Ketse
Google BetaStar,Vauxhall,2,5,944,22.01 ± 4.0,3565,7,No,Protoss,StirFry ; MUSTARDTIGER,FutureNights ; MrJefferson ; BounD ; Zip ; keelar
AltSource,Jakers,0,3,916,18.87 ± 6.1,0,,No,Terran,,halflings ; Mannered ; ZESTisBEST
Garmin Fenix,Tiran,1,2,961,23.15 ± 5.4,0,8,No,Zerg,PapaGil,GreatArchon ; GreatArchon
Alexa 12 Pool,whsper,4,2,1100,31.61 ± 4.1,0,4,No,Protoss,DetRice ; Garett ; Allen ; Youiur,brueda ; brueda
Capital OneA,Projekt,1,4,923,20.38 ± 4.9,3682,,No,Protoss,VoxVeritas,Expendable ; joLin ; fuinkaze ; MrJin
Amazon Painforest,joLin,6,3,1056,27.33 ± 3.5,4393,4,No,Zerg,TwoBaneZ ; Chiy ; Expendable ; Bobsponge ; Projekt ; Tarnasa,rezecib ; fuinkaze ; OrangCaramel
Ok Googler,TwoBaneZ,6,2,1195,35.51 ± 3.2,4405,3,No,Random,Kevin ; PluTo ; Arcane ; CowInAPie ; BounD ; seu,joLin ; ZESTisBEST
VISARD,sergeydr,0,5,833,12.50 ± 4.9,0,,No,Terran,,RexAliquid ; MUSTARDTIGER ; Treadle ; Kitagawa ; Cicero
AltSource,maryp,0,2,911,15.43 ± 5.9,1893,,No,Zerg,,Arioch ; Mestaman
Bloomberg Bloomzerg,DisCerN,11,13,1029,28.37 ± 2.1,4086,3,Yes,Zerg,Kevin ; Kevin ; JimGaynor ; Laserath ; Maphtar ; imaznation ; imaznation ; Rook ; Starviper ; Cosmic ; Daggerfield,Arcane ; Ketse ; Cicero ; Cicero ; MrJin ; You ; YolBolsun ; ZESTisBEST ; ZESTisBEST ; StoicWilly ; Frontstab ; tso ; MrNovember
Google Xpendables,sineon,2,12,775,15.95 ± 3.1,3121,5,Yes,Terran,Sup ; Lackthereof,DJRUFIO ; juice ; Pacifists ; IIIIIIIIIIII ; rpenguin ; Lagforce ; rezecib ; Vutalisk ; Taeho ; WryWonder ; Alken ; Alken
Red Hat Hatlings,AlexD,1,2,991,26.73 ± 5.4,3515,4,No,Terran,Iceman,GreatArchon ; GritBear
Garmin Fenix,Evan,1,7,820,14.50 ± 3.9,2928,7,No,Zerg,FarFetchd,MsWolf ; Maphtar ; maybecake ; AquAblAck ; Sapientia ; StirFry ; juno
Amazon Painforest,Malk,0,1,964,21.68 ± 7.2,0,,No,Protoss,,SilverBullet
Capital OneA,Spitfire,0,2,933,19.73 ± 6.5,0,,No,Protoss,,Fran ; Fent
Shopify Dropshippers,Inkarnate,24,15,1198,33.24 ± 1.5,4782,2,Yes,Terran,OrangCaramel ; Slumdog ; Emil ; YolBolsun ; brueda ; Auditor ; fuinkaze ; Ketse ; Zip ; Vdek ; GreatArchon ; GreatArchon ; SourSpinach ; Lyte ; ZergGirl ; DOJ ; Alex ; Alex ; Fran ; Laserath ; AquAblAck ; commamloser ; Mantric ; TBSS,Arcane ; SourSpinach ; NaCl ; NaCl ; Vdek ; fuinkaze ; Turing ; brueda ; PluTo ; PluTo ; PluTo ; Mestaman ; ZESTisBEST ; KawaiiRice ; danceparty
Google 1E100 Ads Per Minute,Syzygy,2,5,937,20.73 ± 4.2,3937,4,Yes,Protoss,StagaDish ; Tetto,FutureNights ; SourSpinach ; Zip ; keelar ; Kevin
Facebook Wings,Unknown,2,0,1074,32.30 ± 6.0,3677,6,No,Zerg,HowieZ ; Mantric,
Google YouNube,Galoubet,1,13,724,13.80 ± 3.5,2706,,No,Zerg,owlerX,Sunflasher ; Dejanigma ; Anelit ; CowInAPie ; coolwhip ; Alephnaut ; Kolo ; Garett ; GreatArchon ; Kitagawa ; ViceAdmiral ; ViceAdmiral ; Alken
Capital OneA,REALLYANGRY,1,2,980,23.75 ± 5.9,3902,,No,Zerg,RexAliquid,Fent ; Krayze
AltSource,CulperAgent,0,2,931,19.00 ± 6.2,0,,No,Terran,,Maarfon ; JimGaynor
Google YAM,vTakker,1,0,1040,29.84 ± 6.9,3100,4,No,Terran,MrSleep,
Findex Fast Expand,icyCow,3,6,955,24.22 ± 3.5,3190,7,Yes,Zerg,Thames ; TomNook ; StdyFriend,Laserath ; Arcane ; frugs ; fuinkaze ; SilverBullet ; ZESTisBEST
Findex Fast Expand,Winze,2,17,737,13.99 ± 3.2,2979,7,Yes,Protoss,Daggerfield ; ITmedic,DanStraight ; Lackthereof ; halflings ; FearCat ; DonRagu ; Iceman ; MxGLasender ; Taeho ; Foggy ; TheGladiator ; GreatArchon ; NaCl ; NaCl ; bablit ; Slumdog ; Slumdog ; OrangCaramel
Facebook Wings,kelvinzhong,1,1,1001,24.78 ± 5.7,3679,4,No,Protoss,ZeroCool,Enterprise
Bloomzerg,AquAblAck,1,1,997,24.01 ± 6.5,0,8,No,Zerg,Evan,Inkarnate
Amazon Painforest,NaCl,27,14,1116,32.37 ± 1.5,4543,3,Yes,Protoss,GritBear ; Inkarnate ; Inkarnate ; SilverBullet ; brueda ; brueda ; Ender ; Turing ; Zip ; Puzzle ; frugs ; Unholy ; DOJ ; Vutalisk ; Bobalicious ; BaconPancake ; FutureNights ; Pikmet ; Zeman ; Bumblebee ; MyKill ; KGBXaiver ; DJRUFIO ; FarFetchd ; Winze ; Winze ; Argyle,Lagforce ; DOJ ; SourSpinach ; Cicero ; Emil ; juno ; juno ; Slumdog ; Mestaman ; Kevin ; Kevin ; Frontstab ; Frontstab ; AGiantSmurf
Capital OneA,Bumblebee,0,3,885,14.96 ± 5.5,3604,,No,Zerg,,shengy ; StirFry ; NaCl
IBM Raiders,Kolo,7,4,1073,30.20 ± 2.9,4354,3,No,Terran,ZESTisBEST ; Vutalisk ; FutureNights ; Mantric ; bees ; MrSleep ; Galoubet,Allen ; Mannered ; SilverBullet ; OrangCaramel
Google Cannon Platform,FarFetchd,1,9,821,17.40 ± 3.6,3519,6,No,Protoss,JimGaynor,Evan ; PandaLove ; LatinPride ; McStruthers ; NaCl ; MrJin ; MrJin ; StoicWilly ; MrNovember
VISARD,SophieG,0,2,910,15.57 ± 5.8,0,,No,Zerg,,Sunflasher ; LatinPride
Facebook Heart,BilboBagins,1,3,957,24.72 ± 4.6,3912,3,No,Zerg,PluTo,Treadle ; Krayze ; You
Peloton,Phate,1,2,955,19.78 ± 5.0,2661,,No,Zerg,MADMDK,MrSleep ; JimGaynor
AltSource,Sup,2,2,974,20.52 ± 4.4,2440,4,No,Terran,ZeroCool ; Tetto,Argyle ; sineon
Amazon Painforest,meTzelmaTz,1,1,996,24.21 ± 6.5,4412,7,No,Zerg,Daggerfield,Zip
IBM Virtual Private Carriers,wokparty,12,12,1005,24.77 ± 2.3,3308,5,Yes,Terran,Anelit ; Philosotoss ; Rob ; Pocari ; Kerms ; Kerms ; Ares ; Rook ; CliKing ; Greghatch ; DJRUFIO ; Argyle,Arioch ; Kixantrix ; sandboX ; MxGLasender ; ThEUnKnowN ; nalakuwala ; Rainier ; Crilmon ; Pancakes ; Alken ; StoicWilly ; Zero
Facebook Wings,Arkane,1,1,1006,25.27 ± 5.4,3814,5,No,Terran,halflings,MrJefferson
Google Proxy Batch,Alien,0,1,952,18.89 ± 6.5,0,,No,Terran,,seu
AMD RyzenG,CowInAPie,3,2,1031,29.47 ± 4.5,0,4,No,Terran,You ; MyKill ; Galoubet,Mannered ; TwoBaneZ
Facebook Zuckerzerg,tsuki,2,1,1030,27.55 ± 5.3,3255,3,No,Protoss,Thadeaus ; FutureNights,AGiantSmurf
AMD RyzenG,Dejanigma,3,4,959,21.35 ± 3.7,3299,5,No,Zerg,juba ; xale ; Galoubet,DJRUFIO ; Anelit ; ReMiiX ; Gyalgatine
AMD RyzenG,iWushu,0,1,960,20.79 ± 7.2,0,,No,Terran,,tskuzzy
Google 1E100 Ads Per Minute,tskuzzy,13,5,1118,28.89 ± 2.4,3993,4,Yes,Zerg,Kitagawa ; Newbi ; PandaKhan ; Iceman ; Syrril ; maybecake ; iWushu ; IIIIIIIIIIII ; TBSS ; ogreinside ; Pacifists ; Calm ; Daggerfield,DaFoo ; Iceman ; Alephnaut ; FAir ; Frontstab
Workday My Life for HR,DetRice,4,2,1091,32.51 ± 4.2,3625,4,No,Zerg,Kitagawa ; Iceman ; Larry ; Argyle,whsper ; Kitagawa
Shopify Dropshippers,FutureNights,5,13,959,22.95 ± 2.7,3550,2,Yes,Zerg,Alken ; CepHaLoPoD ; Vauxhall ; Syzygy ; StdyFriend,Pacifists ; MDM ; ZeroCool ; tsuki ; Kolo ; NaCl ; Krayze ; Ender ; GritBear ; PluTo ; KawaiiRice ; danceparty ; MrNovember
AMD RyzenG,Spectre,2,1,1056,29.80 ± 5.2,2886,7,No,Terran,sandboX ; Sunflasher,You
Workday My Life for HR,SLeePY,0,1,960,20.79 ± 7.2,0,,No,Terran,,OneShotKilla
Peloton Zealot Legs,OneShotKilla,2,5,879,17.83 ± 3.7,0,,Yes,Protoss,SLeePY ; Treher,Maarfon ; Kisa ; DonRagu ; LuMorY ; Sowha
Google YouNube,sandboX,2,1,1020,27.10 ± 5.3,3074,6,No,Zerg,wokparty ; Sunflasher,Spectre
Shopify Dropshippers,Allen,2,3,1012,26.89 ± 4.1,3729,4,No,Protoss,Kolo ; Foggy,shengy ; SourSpinach ; whsper
IBM Raiders,IIIIIIIIIIII,2,3,948,22.20 ± 4.4,3415,6,No,Terran,xale ; sineon,Alephnaut ; tskuzzy ; Mestaman
Google Cannon Platform,Arioch,2,2,1034,28.65 ± 4.7,3445,4,No,Zerg,Cicero ; MUSTARDTIGER,Mestaman ; Alken
Ok Googler,pzlin,3,2,1019,27.23 ± 4.2,4261,4,No,Protoss,Iceman ; halflings ; xale,PluTo ; Kevin
Google Cannon Platform,Lunatic,2,0,1067,31.27 ± 6.4,3521,7,No,Zerg,maybecake ; Optimization,
Google BetaStar,Optimization,0,1,960,20.79 ± 7.2,3504,,No,Zerg,,Lunatic
Apple MacRoPro,Foggy,5,3,1072,27.95 ± 3.4,0,4,No,Terran,Infinity ; Maphtar ; Jackal ; Jackal ; Winze,Allen ; YolBolsun ; juno
Apple MacRoPro,Funkytown,1,1,977,20.66 ± 5.8,0,6,No,Zerg,MyKill,FearCat
Micro Pro,AGiantSmurf,15,5,1342,37.38 ± 2.2,5719,2,Yes,Protoss,tso ; Kevin ; Pancakes ; Mannered ; brueda ; NaCl ; TheGladiator ; Lyte ; WhiteRa ; tsuki ; seu ; Milkman ; MAznDragon ; Zeman ; Majak,SourSpinach ; StoicWilly ; StoicWilly ; StoicWilly ; tso
Amazon Painforest,bablit,5,1,1118,33.28 ± 4.2,3830,5,No,Terran,MrJin ; Maphtar ; Majak ; Majak ; Winze,OrangCaramel
AMD RyzenG,Gokhan,2,4,988,25.36 ± 4.0,0,4,No,Protoss,LuMorY ; xale,Gyalgatine ; Mannered ; StoicWilly ; StoicWilly
Wraitheon,Starviper,0,4,872,16.51 ± 5.0,0,,No,Terran,,ReMiiX ; Fran ; DisCerN ; Gyalgatine
IBM Virtual Private Carriers,PandaLove,1,3,940,22.08 ± 4.6,4641,7,No,Terran,FarFetchd,BounD ; Kevin ; Kevin
Apple MacRoPro,Laserath,3,3,998,26.04 ± 3.9,3528,7,No,Protoss,icyCow ; DJRUFIO ; Nebula,DisCerN ; brueda ; Inkarnate
Garmin Fenix,Rook,4,8,896,19.92 ± 3.1,2983,5,Yes,Terran,Kisa ; Atlantean ; ogreinside ; Nebula,Atlantean ; maybecake ; maybecake ; wokparty ; DisCerN ; CheeseMaster ; PluTo ; Liqht
Google YouNube,bees,0,4,898,16.93 ± 5.3,3175,,No,Zerg,,juba ; Kolo ; Kevin ; Kevin
Wraitheon,Newbi,10,5,1128,30.65 ± 2.7,2832,3,No,Protoss,FAir ; bScherm ; UWUMcSwagXD ; Anelit ; MDM ; Kerms ; DanStraight ; Greghatch ; Argyle ; Argyle,tskuzzy ; eXiled ; Slumdog ; StoicWilly ; FAir
Google Noobernetes,Smitti,2,1,1023,25.84 ± 5.4,2943,8,No,Zerg,BaconPancake ; RexAliquid,juba
Micro Pro,coolwhip,3,2,1036,28.85 ± 4.8,4023,9,Yes,Terran,LilPinkBoba ; Youiur ; Galoubet,ZESTisBEST ; Liqht
Google YouNube,MAznDragon,0,2,915,16.15 ± 5.8,0,,No,Protoss,,DJRUFIO ; AGiantSmurf
Garmin Fenix,juba,9,6,1050,26.30 ± 2.6,3938,4,Yes,Zerg,MxGLasender ; Smitti ; LuisG ; maybecake ; Feaisil ; MDM ; Nitrous ; bees ; Theios,Atlantean ; Nitrous ; Dejanigma ; Auditor ; Katfish ; Liqht
Google Noobernetes,maybecake,3,5,971,23.23 ± 3.9,3743,6,No,Random,Rook ; Rook ; Evan,Combust ; juba ; Lunatic ; tskuzzy ; StoicWilly
Amazon Painforest,commamloser,2,3,995,25.49 ± 4.4,0,5,No,Zerg,PapaGil ; Jackal,GeLouKo ; SourSpinach ; Inkarnate
Shopify Dropshippers,Zero,26,5,1407,40.35 ± 1.8,6049,0,Yes,Terran,tso ; Frontstab ; KawaiiRice ; OrangCaramel ; OrangCaramel ; qxc ; ZESTisBEST ; ZESTisBEST ; ZESTisBEST ; ZESTisBEST ; juno ; juno ; YolBolsun ; Turing ; SourSpinach ; SourSpinach ; Arcane ; BicepCurls ; BounD ; BounD ; ReMiiX ; wokparty ; seu ; OooLaLa ; Lagforce ; patch,Auditor ; Alken ; OrangCaramel ; danceparty ; tso
Micro Pro,Vdek,6,3,1118,31.60 ± 3.0,4685,3,Yes,Zerg,Inkarnate ; Arcane ; Anelit ; Infinity ; Yaxhiro ; Calm,BounD ; TheGladiator ; Inkarnate
Google YouNube,empathe,0,1,979,22.84 ± 7.3,3004,,No,Zerg,,Mannered
Micro Pro,Lagforce,3,6,989,26.58 ± 3.5,3923,4,Yes,Terran,NaCl ; BlueTopaz ; sineon,SourSpinach ; Ender ; Auditor ; Slumdog ; Pancakes ; Zero
Google Noobernetes,Lackthereof,1,4,915,18.38 ± 4.9,0,8,No,Zerg,Winze,sineon ; MrJin ; MrJin ; StoicWilly
Google A-Movers,YolBolsun,16,10,1202,32.70 ± 1.9,4873,3,Yes,Protoss,FAir ; FAir ; SilverBullet ; Turing ; Zip ; SourSpinach ; Gyalgatine ; Alephnaut ; Foggy ; Arcane ; Arcane ; MxGLasender ; DisCerN ; Zergachu ; Pikmet ; imaznation,seu ; IIIIIIIIIIII ; TallMonster ; bScherm ; Inkarnate ; Mestaman ; Liqht ; OrangCaramel ; danceparty ; Zero
Workday My Life for HR,GeLouKo,1,1,1024,27.99 ± 6.2,0,6,No,Protoss,commamloser,Kitagawa
Workday My Life for HR,BaconPancake,1,2,961,21.86 ± 5.6,3084,7,No,Zerg,Daggerfield,Smitti ; NaCl
Google ggMail,Majak,2,8,838,19.19 ± 3.7,2868,8,Yes,Zerg,PapaGil ; Cots,Joba ; Iceman ; CheriLady ; undertone ; nowitzki ; bablit ; bablit ; AGiantSmurf
Wraitheon,Zergachu,0,1,966,22.78 ± 7.4,0,,No,Zerg,,YolBolsun
Google BetaStar,Combust,1,0,1035,29.40 ± 6.8,0,7,No,Zerg,maybecake,
Google YouNube,Sapientia,1,0,1022,26.39 ± 7.6,3047,8,No,Zerg,Evan,
Workday My Life for HR,olaf,0,1,946,17.18 ± 6.2,0,,No,Zerg,,Taeho
Google Noobernetes,Larry,0,1,966,22.14 ± 7.1,0,,No,Protoss,,DetRice
Google Cannon Platform,CheeseMaster,1,0,1040,29.39 ± 6.9,3425,6,No,Zerg,Rook,
Ok Googler,ReMiiX,2,3,1005,26.02 ± 4.7,4183,6,No,Terran,Dejanigma ; Starviper,SourSpinach ; juno ; Zero
Google BetaStar,CheriLady,1,1,1004,25.96 ± 5.6,0,9,No,Terran,Majak,frugs
Google Noobernetes,Feaisil,0,1,962,19.93 ± 6.8,0,,No,Zerg,,juba
Microsoft Macrohard,SadKeev,1,0,1040,31.92 ± 6.2,4546,4,No,Zerg,GreatArchon,
New Nerds On The Block,BigJoeLogs,3,3,980,23.21 ± 4.2,3723,6,No,Zerg,CAholder ; Greghatch ; Argyle,CODADarson ; SourSpinach ; Crilmon
United E-commerce Directorate,Joba,1,1,989,25.12 ± 6.1,3089,9,No,Protoss,Majak,hello
New Nerds On The Block,QTWO,0,5,835,14.12 ± 4.8,1934,,No,Protoss,,Cots ; Hyz ; Arcane ; Alpha ; Zip
Microsoft Macrohard,Crilmon,6,2,1172,35.60 ± 3.4,5151,2,No,Zerg,tso ; You ; Gyalgatine ; wokparty ; BigJoeLogs ; TomNook,Mestaman ; tso
Amazon Primal,Kisa,6,8,947,21.43 ± 2.7,3124,4,Yes,Protoss,StagaDish ; Kixantrix ; Kixantrix ; Magni ; OneShotKilla ; juice,Jackal ; Rook ; Nitrous ; Yaxhiro ; Lyte ; Zip ; Zip ; fuinkaze
New Nerds On The Block,chelseafan,4,4,1040,27.99 ± 3.2,4719,4,No,Protoss,GreatArchon ; Iceman ; Iceman ; Nitrous,GreatArchon ; PluTo ; FAir ; KawaiiRice
IBM Virtual Private Carriers,Alpha,6,4,1087,29.37 ± 3.1,3645,3,No,Protoss,Zip ; LuMorY ; Yaxhiro ; Kerms ; Jackal ; QTWO,Cicero ; GritBear ; StoicWilly ; KawaiiRice
Microsoft Macrohard,KawaiiRice,13,2,1301,39.23 ± 2.9,5506,2,No,Zerg,FAir ; FAir ; Alken ; Inkarnate ; eXiled ; brueda ; Turing ; Alpha ; Alephnaut ; Alephnaut ; IIIIIIIIIIII ; chelseafan ; FutureNights,tso ; Zero
Red Hatlings,Syrril,4,3,1030,25.82 ± 3.5,3961,4,No,Zerg,fuinkaze ; Taeho ; Faz ; Youiur,Maphtar ; Rainier ; GritBear
United E-commerce Directorate,tom,2,1,1067,31.17 ± 5.3,4495,4,No,Zerg,WryWonder ; Pacifists,Mestaman
Microsoft Bill 4 Gates,ThEUnKnowN,6,4,1083,29.32 ± 3.4,0,3,No,Terran,Rainier ; Alephnaut ; wokparty ; Philosotoss ; Philosotoss ; Greghatch,UWUMcSwagXD ; Cicero ; ZESTisBEST ; tso
Red Hatlings,CODADarson,1,2,992,24.35 ± 5.0,3011,7,No,Protoss,BigJoeLogs,LuMorY ; brueda
MSFT-B,imaznation,2,8,908,21.63 ± 3.4,3340,6,Yes,Protoss,Arioch ; MyKill,DisCerN ; DisCerN ; Unholy ; PeeAndKeele ; SilverBullet ; YolBolsun ; ZESTisBEST ; StoicWilly
Microsoft One Xbox One X,TYTY,1,3,941,21.19 ± 4.8,3224,,No,Terran,Greghatch,LuMorY ; Kronya ; Mannered
Addeparchon,Greghatch,3,15,834,18.85 ± 2.9,3281,,Yes,Protoss,Cress ; TheMonkies ; smokeygun,TYTY ; whoyou ; BigJoeLogs ; Anelit ; wokparty ; Saichotic ; hello ; Gyalgatine ; Gyalgatine ; ThEUnKnowN ; Newbi ; Krayze ; Liqht ; Kevin ; OrangCaramel
Addeparchon,Kronya,2,2,1025,28.06 ± 5.3,2851,,No,Zerg,TYTY ; ActiveFire,Lyte ; Katfish
Microsoft One Xbox One X,ActiveFire,0,2,915,16.50 ± 6.1,2186,,No,Protoss,,Ockie ; Kronya
Addeparchon,FAir,19,9,1289,33.97 ± 1.8,4960,3,Yes,Protoss,Pancakes ; ZESTisBEST ; Mestaman ; Newbi ; tskuzzy ; GreatArchon ; GreatArchon ; WhiteRa ; PandaKhan ; Quirkedkirk ; TallMonster ; Arcane ; Arcane ; chelseafan ; DaFoo ; whoyou ; Ectoplasm ; colonelxc ; smokeygun,Gyalgatine ; fuinkaze ; Newbi ; YolBolsun ; YolBolsun ; Mestaman ; StoicWilly ; KawaiiRice ; KawaiiRice
MSFT-B,PandaKhan,5,2,1087,29.23 ± 3.9,2093,5,Yes,Zerg,protoaST ; whoyou ; Arioch ; Argyle ; Argyle,tskuzzy ; FAir
Addeparchon,Ender,14,8,1162,31.27 ± 2.2,4693,3,Yes,Protoss,Mestaman ; Cicero ; BicepCurls ; Lagforce ; DaFoo ; DaFoo ; Milkman ; FutureNights ; DonRagu ; Pikmet ; MDM ; Faz ; CliKing ; ITmedic,DaFoo ; Lyte ; NaCl ; ZESTisBEST ; ShOckWavE ; qxc ; qxc ; danceparty
MSFT-B,DaFoo,4,6,986,24.25 ± 3.0,4076,4,Yes,Terran,Ender ; tskuzzy ; WryWonder ; Maphtar,Maphtar ; Rainier ; Ender ; Ender ; brueda ; FAir
MSFT-A,Lyte,6,5,1091,28.98 ± 2.8,4185,4,Yes,Zerg,Ender ; Kronya ; Philosotoss ; Kisa ; shengy ; DanStraight,Alephnaut ; Inkarnate ; OrangCaramel ; AGiantSmurf ; tso
Google A-Movers,Emil,8,2,1214,35.43 ± 2.9,4237,3,Yes,Zerg,Mestaman ; PluTo ; fuinkaze ; NaCl ; Zeman ; Zeman ; DanStraight ; StdyFriend,Inkarnate ; Kevin
